# x,y,rho,vel_x,vel_y,p
8.500000000000000611e-02,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
9.500000000000000111e-02,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.050000000000000100e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.150000000000000050e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.250000000000000000e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.350000000000000089e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.450000000000000178e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.549999999999999989e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.650000000000000078e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.750000000000000167e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.849999999999999978e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
1.950000000000000067e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.050000000000000155e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.149999999999999967e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.250000000000000056e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.350000000000000144e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.449999999999999956e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.550000000000000044e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.650000000000000133e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.750000000000000222e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.850000000000000311e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
2.949999999999999845e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.049999999999999933e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.150000000000000022e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.250000000000000111e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.350000000000000200e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.450000000000000289e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.550000000000000377e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.649999999999999911e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.750000000000000000e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.850000000000000089e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
3.950000000000000178e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.050000000000000266e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.150000000000000355e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.249999999999999889e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.349999999999999978e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.450000000000000067e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.550000000000000155e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.650000000000000244e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.750000000000000333e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.849999999999999867e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
4.949999999999999956e-01,2.750000000000000222e-01,5.210868796783753032e-01,8.340261772113134464e-01,-2.496045871931092813e-02,3.881719136982292873e-01
5.050000000000000044e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.150000000000000133e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.250000000000000222e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.350000000000000311e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.450000000000000400e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.550000000000000488e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.650000000000000577e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.750000000000000666e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.849999999999999645e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.949999999999999734e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.049999999999999822e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.149999999999999911e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.250000000000000000e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.350000000000000089e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.450000000000000178e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.550000000000000266e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.650000000000000355e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.750000000000000444e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.850000000000000533e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
6.950000000000000622e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.050000000000000711e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.149999999999999689e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.249999999999999778e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.349999999999999867e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.449999999999999956e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.550000000000000044e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.650000000000000133e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.750000000000000222e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.850000000000000311e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
7.950000000000000400e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.050000000000000488e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.150000000000000577e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.250000000000000666e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.350000000000000755e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.449999999999999734e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.549999999999999822e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.649999999999999911e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.750000000000000000e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.850000000000000089e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
8.950000000000000178e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.050000000000000266e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.150000000000000355e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.250000000000000444e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.350000000000000533e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.450000000000000622e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.550000000000000711e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.649999999999999689e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.749999999999999778e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.849999999999999867e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
9.949999999999999956e-01,2.750000000000000222e-01,9.998387854480474957e-01,9.990180551626030858e-02,-1.288886803100251007e-04,9.997782414591083189e-01
5.000000000000000104e-03,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.499999999999999944e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.500000000000000139e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.499999999999999639e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.499999999999999833e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
5.500000000000000028e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
6.500000000000000222e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
7.500000000000001110e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
8.500000000000000611e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
9.500000000000000111e-02,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.050000000000000100e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.150000000000000050e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.250000000000000000e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.350000000000000089e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.450000000000000178e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.549999999999999989e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.650000000000000078e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.750000000000000167e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.849999999999999978e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
1.950000000000000067e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.050000000000000155e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.149999999999999967e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.250000000000000056e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.350000000000000144e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.449999999999999956e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.550000000000000044e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.650000000000000133e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.750000000000000222e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.850000000000000311e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
2.949999999999999845e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.049999999999999933e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.150000000000000022e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.250000000000000111e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.350000000000000200e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.450000000000000289e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.550000000000000377e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.649999999999999911e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.750000000000000000e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.850000000000000089e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
3.950000000000000178e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.050000000000000266e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.150000000000000355e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.249999999999999889e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.349999999999999978e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.450000000000000067e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.550000000000000155e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.650000000000000244e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.750000000000000333e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.849999999999999867e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
4.949999999999999956e-01,2.850000000000000311e-01,5.167012190302416874e-01,8.371607607560974662e-01,-3.595814655403304499e-02,3.830633601768548835e-01
5.050000000000000044e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.150000000000000133e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.250000000000000222e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.350000000000000311e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.450000000000000400e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.550000000000000488e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.650000000000000577e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.750000000000000666e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.849999999999999645e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
5.949999999999999734e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.049999999999999822e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.149999999999999911e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.250000000000000000e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.350000000000000089e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.450000000000000178e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.550000000000000266e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.650000000000000355e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.750000000000000444e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.850000000000000533e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
6.950000000000000622e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.050000000000000711e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.149999999999999689e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.249999999999999778e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.349999999999999867e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.449999999999999956e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.550000000000000044e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.650000000000000133e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.750000000000000222e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.850000000000000311e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
7.950000000000000400e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.050000000000000488e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.150000000000000577e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.250000000000000666e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.350000000000000755e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.449999999999999734e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.549999999999999822e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.649999999999999911e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.750000000000000000e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.850000000000000089e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
8.950000000000000178e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.050000000000000266e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.150000000000000355e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.250000000000000444e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.350000000000000533e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.450000000000000622e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.550000000000000711e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.649999999999999689e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.749999999999999778e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
9.849999999999999867e-01,2.850000000000000311e-01,9.996611709532731149e-01,9.979792518420216307e-02,-2.759173128007811346e-04,9.995337822587520016e-01
